13:13:16.865 - accX: 26, accY: -27, accZ: 14
13:13:16.879 - accX: 39, accY: -39, accZ: 25
13:13:16.892 - accX: 34, accY: -25, accZ: 23
13:13:16.908 - accX: 40, accY: 8, accZ: 26
13:13:16.922 - accX: 53, accY: 58, accZ: -6
13:13:16.940 - accX: 25, accY: 94, accZ: -21
13:13:16.956 - accX: -21, accY: 105, accZ: -62
13:13:16.971 - accX: -51, accY: 29, accZ: -45
13:13:16.986 - accX: -25, accY: 22, accZ: -31
13:13:17.004 - accX: -25, accY: 21, accZ: -31
13:13:17.017 - accX: -35, accY: 20, accZ: -35
13:13:17.030 - accX: -29, accY: 24, accZ: -34
13:13:17.055 - accX: -29, accY: 24, accZ: -34
13:13:17.077 - accX: -29, accY: 24, accZ: -33
13:13:17.090 - accX: -28, accY: 23, accZ: -33
13:13:17.104 - accX: -26, accY: 28, accZ: -30
13:13:17.122 - accX: 127, accY: 127, accZ: 127
13:13:17.139 - accX: -4, accY: 8, accZ: -30
13:13:17.158 - accX: -5, accY: 9, accZ: -31
13:13:17.175 - accX: -5, accY: 10, accZ: -32
13:13:17.191 - accX: -2, accY: 10, accZ: -35
13:13:17.208 - accX: 0, accY: 10, accZ: -41
13:13:17.224 - accX: -6, accY: 8, accZ: -49
13:13:17.240 - accX: -128, accY: -125, accZ: -128
13:13:17.257 - accX: -21, accY: -12, accZ: -17
13:13:17.276 - accX: -22, accY: -8, accZ: -12
13:13:17.293 - accX: -25, accY: -13, accZ: -3
13:13:17.311 - accX: -28, accY: -17, accZ: 7
13:13:17.326 - accX: 86, accY: -106, accZ: 113
13:13:17.343 - accX: 7, accY: -5, accZ: 6
13:13:17.362 - accX: 3, accY: -1, accZ: 0
13:13:17.377 - accX: 12, accY: -10, accZ: 10
13:13:17.392 - accX: 67, accY: -57, accZ: 12
13:13:17.405 - accX: 43, accY: -9, accZ: -35
13:13:17.420 - accX: 127, accY: 76, accZ: -90
13:13:17.443 - accX: 10, accY: 14, accZ: -11
13:13:17.458 - accX: 63, accY: 56, accZ: -23
13:13:17.471 - accX: 40, accY: 45, accZ: -20
13:13:17.485 - accX: 49, accY: 52, accZ: -13
13:13:17.511 - accX: 48, accY: 50, accZ: -10
13:13:17.526 - accX: 51, accY: 49, accZ: -9
13:13:17.541 - accX: 51, accY: 47, accZ: -5
13:13:17.554 - accX: 50, accY: 44, accZ: -1
13:13:17.568 - accX: 44, accY: 40, accZ: 1
13:13:17.584 - accX: 92, accY: 10, accZ: -12
13:13:17.609 - accX: 30, accY: -20, accZ: 11
13:13:17.625 - accX: 32, accY: -29, accZ: 20
13:13:17.638 - accX: 44, accY: -27, accZ: 11
13:13:17.652 - accX: 108, accY: 13, accZ: -11
13:13:17.668 - accX: 87, accY: 37, accZ: -13
13:13:17.683 - accX: 59, accY: 32, accZ: -6
13:13:17.697 - accX: 70, accY: 8, accZ: -3
13:13:17.711 - accX: 58, accY: -15, accZ: 8
13:13:17.725 - accX: 61, accY: 2, accZ: 10
13:13:17.741 - accX: 67, accY: 14, accZ: -2
13:13:17.756 - accX: 67, accY: 4, accZ: -3
13:13:17.781 - accX: 62, accY: 2, accZ: 5
13:13:17.795 - accX: 65, accY: 6, accZ: 2
13:13:17.809 - accX: 65, accY: 5, accZ: -1
13:13:17.822 - accX: 64, accY: 5, accZ: 3
13:13:17.836 - accX: 64, accY: 4, accZ: 2
13:13:17.859 - accX: 64, accY: 5, accZ: 1
13:13:17.874 - accX: 64, accY: 5, accZ: 3
13:13:17.886 - accX: 64, accY: 5, accZ: 2
13:13:17.908 - accX: 64, accY: 5, accZ: 1
13:13:17.923 - accX: 65, accY: 6, accZ: 3
13:13:17.937 - accX: 65, accY: 5, accZ: 1
13:13:17.948 - accX: 66, accY: 5, accZ: 1
13:13:17.969 - accX: 64, accY: 5, accZ: 2
13:13:17.983 - accX: 66, accY: 5, accZ: 1
13:13:18.019 - accX: 64, accY: 6, accZ: 2
13:13:18.062 - accX: 64, accY: 5, accZ: 2
13:13:18.074 - accX: 65, accY: 5, accZ: 2
13:13:18.086 - accX: 65, accY: 6, accZ: 2
13:13:18.098 - accX: 64, accY: 5, accZ: 2
13:13:18.119 - accX: 61, accY: 6, accZ: 1
13:13:18.134 - accX: 68, accY: 5, accZ: -1
13:13:18.148 - accX: 55, accY: 33, accZ: -4
13:13:18.161 - accX: 59, accY: -2, accZ: 6
13:13:18.186 - accX: 56, accY: -16, accZ: 7
13:13:18.202 - accX: 76, accY: 16, accZ: 13
13:13:18.217 - accX: 73, accY: 10, accZ: 20
13:13:18.229 - accX: 74, accY: 3, accZ: 17
13:13:18.242 - accX: 84, accY: -17, accZ: 7
13:13:18.268 - accX: 106, accY: -34, accZ: -9
13:13:18.283 - accX: 123, accY: -22, accZ: -14
13:13:18.297 - accX: 107, accY: -18, accZ: 7
13:13:18.311 - accX: 117, accY: -20, accZ: 8
