14:32:34.901 - accX: -12, accY: 0, accZ: -16
14:32:34.916 - accX: -11, accY: 0, accZ: -15
14:32:34.939 - accX: -11, accY: 0, accZ: -16
14:32:34.956 - accX: 81, accY: 11, accZ: 79
14:32:34.975 - accX: 78, accY: -40, accZ: -99
14:32:34.994 - accX: -16, accY: -2, accZ: -33
14:32:35.013 - accX: -17, accY: 0, accZ: -34
14:32:35.031 - accX: -17, accY: 0, accZ: -34
14:32:35.045 - accX: -128, accY: -92, accZ: -128
14:32:35.063 - accX: -11, accY: 0, accZ: -25
14:32:35.082 - accX: -11, accY: 0, accZ: -25
14:32:35.094 - accX: -14, accY: 1, accZ: -25
14:32:35.108 - accX: -93, accY: -22, accZ: 67
14:32:35.125 - accX: -4, accY: 0, accZ: -12
14:32:35.143 - accX: -3, accY: 0, accZ: -13
14:32:35.157 - accX: -19, accY: 3, accZ: 8
14:32:35.174 - accX: 81, accY: -12, accZ: 127
14:32:35.192 - accX: 3, accY: 3, accZ: -2
14:32:35.209 - accX: 12, accY: -3, accZ: 11
14:32:35.229 - accX: 68, accY: -21, accZ: 84
14:32:35.245 - accX: 21, accY: -1, accZ: 18
14:32:35.262 - accX: 34, accY: 8, accZ: 40
14:32:35.286 - accX: 38, accY: 5, accZ: 43
14:32:35.310 - accX: 35, accY: -1, accZ: 36
14:32:35.325 - accX: 26, accY: -5, accZ: 23
14:32:35.339 - accX: 13, accY: -2, accZ: 39
14:32:35.380 - accX: -65, accY: -14, accZ: 76
14:32:35.424 - accX: -1, accY: 5, accZ: 71
14:32:35.462 - accX: -8, accY: -7, accZ: 61
14:32:35.476 - accX: -7, accY: 2, accZ: 61
14:32:35.490 - accX: -13, accY: -7, accZ: 58
14:32:35.506 - accX: -5, accY: 1, accZ: 61
14:32:35.522 - accX: -7, accY: -1, accZ: 60
14:32:35.538 - accX: -9, accY: -4, accZ: 59
14:32:35.553 - accX: -5, accY: 0, accZ: 60
14:32:35.569 - accX: -8, accY: -3, accZ: 59
14:32:35.585 - accX: -6, accY: -1, accZ: 60
14:32:35.600 - accX: -8, accY: -2, accZ: 60
14:32:35.617 - accX: -6, accY: -2, accZ: 60
14:32:35.641 - accX: -7, accY: -2, accZ: 60
14:32:35.662 - accX: -7, accY: -2, accZ: 60
14:32:35.673 - accX: -6, accY: -1, accZ: 60
14:32:35.686 - accX: -7, accY: -1, accZ: 59
14:32:35.699 - accX: -7, accY: -2, accZ: 59
14:32:35.713 - accX: -7, accY: -2, accZ: 59
14:32:35.736 - accX: -6, accY: -2, accZ: 60
14:32:35.752 - accX: -7, accY: -2, accZ: 60
14:32:35.764 - accX: -6, accY: -1, accZ: 60
14:32:35.776 - accX: -7, accY: -1, accZ: 59
14:32:35.790 - accX: -7, accY: -1, accZ: 60
14:32:35.814 - accX: -7, accY: -2, accZ: 60
14:32:35.832 - accX: -7, accY: -1, accZ: 60
14:32:35.845 - accX: -7, accY: -2, accZ: 59
14:32:35.858 - accX: -7, accY: 0, accZ: 60
14:32:35.872 - accX: -8, accY: -1, accZ: 60
14:32:35.887 - accX: -7, accY: -1, accZ: 59
14:32:35.910 - accX: -7, accY: -2, accZ: 60
14:32:35.927 - accX: -7, accY: -2, accZ: 60
14:32:35.938 - accX: -7, accY: -2, accZ: 60
14:32:35.949 - accX: -7, accY: -2, accZ: 60
14:32:35.971 - accX: -7, accY: -2, accZ: 60
14:32:35.988 - accX: -6, accY: -2, accZ: 59
14:32:36.000 - accX: -7, accY: -1, accZ: 59
14:32:36.014 - accX: -7, accY: -2, accZ: 60
